Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
4/12/2021,Amazon.com,,4/21/2021,Shipped,$14.07 ,$0.00 ,$0.72 ,$2.11 ,$0.72 ,$12.68 ,PSF,
4/14/2021,Amazon.com,,4/21/2021,Shipped,$6.98 ,$0.00 ,$0.00 ,$1.05 ,$0.00 ,$5.93 ,PSF,
4/14/2021,Amazon.com,,4/21/2021,Shipped,$13.39 ,$0.00 ,$0.76 ,$0.67 ,$0.76 ,$13.48 ,PSF,
4/14/2021,Amazon.com,,4/16/2021,Shipped,$3.42 ,$0.00 ,$0.18 ,$0.51 ,$0.18 ,$3.09 ,PSF,
4/14/2021,Amazon.com,,4/16/2021,Shipped,$59.99 ,$0.00 ,$0.00 ,$3.00 ,$0.00 ,$56.99 ,PSF,
4/14/2021,Amazon.com,,4/16/2021,Shipped,$25.63 ,$0.00 ,$1.31 ,$3.84 ,$1.31 ,$23.10 ,PSF,
4/14/2021,Amazon.com,,4/16/2021,Shipped,$5.29 ,$0.00 ,$0.27 ,$0.79 ,$0.27 ,$4.77 ,PSF,
4/14/2021,Amazon.com,,4/21/2021,Shipped,$6.99 ,$0.00 ,$0.38 ,$0.70 ,$0.38 ,$6.67 ,PSF,
4/14/2021,Amazon.com,,4/19/2021,Shipped,$3.42 ,$0.00 ,$0.18 ,$0.51 ,$0.18 ,$3.09 ,PSF,
4/14/2021,Amazon.com,,4/15/2021,Shipped,$13.48 ,$0.00 ,$0.68 ,$2.02 ,$0.68 ,$12.14 ,PSF,
4/15/2021,Amazon.com,,4/16/2021,Shipped,$42.48 ,$0.00 ,$2.17 ,$6.37 ,$2.17 ,$38.28 ,PSF,
4/15/2021,Amazon.com,,4/21/2021,Shipped,$17.28 ,$0.00 ,$0.00 ,$2.59 ,$0.00 ,$14.69 ,PSF,
4/17/2021,Amazon.com,,4/18/2021,Shipped,$153.03 ,$0.00 ,$0.45 ,$0.00 ,$0.45 ,$153.48 ,PSF,
4/20/2021,Amazon.com,,4/21/2021,Shipped,$34.52 ,$0.00 ,$2.04 ,$0.50 ,$2.04 ,$36.06 ,PSF,
4/21/2021,Amazon.com,,11/29/2021,Shipped,$8.68 ,$0.00 ,$0.52 ,$0.00 ,$0.52 ,$9.20 ,PSF,
4/21/2021,Amazon.com,,4/22/2021,Shipped,$15.70 ,$0.00 ,$0.94 ,$0.00 ,$0.94 ,$16.64 ,PSF,
4/21/2021,Amazon.com,,4/21/2021,Shipped,$44.98 ,$0.00 ,$2.70 ,$0.00 ,$2.70 ,$47.68 ,PSF,
4/21/2021,Amazon.com,,4/22/2021,Shipped,$6.05 ,$0.00 ,$0.36 ,$0.00 ,$0.36 ,$6.41 ,PSF,
4/22/2021,Amazon.com,,4/22/2021,Shipped,$25.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$25.00 ,PSF,
4/25/2021,Amazon.com,,4/27/2021,Shipped,$41.50 ,$0.00 ,$2.49 ,$0.00 ,$2.49 ,$43.99 ,PSF,
4/25/2021,Amazon.com,,5/31/2021,Shipped,$5.99 ,$0.00 ,$0.36 ,$0.00 ,$0.36 ,$6.35 ,PSF,
4/28/2021,Amazon.com,,5/2/2021,Shipped,$11.99 ,$0.00 ,$0.72 ,$0.00 ,$0.72 ,$12.71 ,PSF,
4/28/2021,Amazon.com,,5/1/2021,Shipped,$9.99 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,$10.59 ,PSF,
4/30/2021,Amazon.com,,5/20/2021,Shipped,$26.99 ,$0.00 ,$1.38 ,$4.05 ,$1.38 ,$24.32 ,PSF,
5/1/2021,Amazon.com,,5/2/2021,Shipped,$151.54 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$151.54 ,PSF,
5/4/2021,Amazon.com,,5/5/2021,Shipped,$14.99 ,$0.00 ,$0.85 ,$0.75 ,$0.85 ,$15.09 ,PSF,
5/6/2021,Amazon.com,,5/20/2021,Shipped,$14.99 ,$0.00 ,$0.76 ,$2.25 ,$0.76 ,$13.50 ,PSF,
5/6/2021,Amazon.com,,5/20/2021,Shipped,$3.99 ,$0.00 ,$0.00 ,$0.20 ,$0.00 ,$3.79 ,PSF,
5/6/2021,Amazon.com,,5/20/2021,Shipped,$7.60 ,$0.00 ,$0.39 ,$1.14 ,$0.39 ,$6.85 ,PSF,
5/7/2021,Amazon.com,,5/20/2021,Shipped,$5.46 ,$0.00 ,$0.31 ,$0.27 ,$0.31 ,$5.50 ,PSF,
5/7/2021,Amazon.com,,5/20/2021,Shipped,$15.98 ,$0.00 ,$0.91 ,$0.80 ,$0.91 ,$16.09 ,PSF,
5/7/2021,Amazon.com,,5/20/2021,Shipped,$14.00 ,$0.00 ,$0.71 ,$2.10 ,$0.71 ,$12.61 ,PSF,
5/8/2021,Amazon.com,,5/12/2021,Shipped,$9.99 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,$10.59 ,PSF,
5/8/2021,Amazon.com,,5/9/2021,Shipped,$5.58 ,$0.00 ,$0.34 ,$0.00 ,$0.34 ,$5.92 ,PSF,
5/9/2021,Amazon.com,,5/9/2021,Shipped,$7.98 ,$0.00 ,$0.48 ,$0.00 ,$0.48 ,$8.46 ,PSF,
